onet_code,technology,trendy,demand
11-1021.00,Microsoft SQL Server,Y,N
11-1021.00,Microsoft Visio,Y,N
11-1021.00,Microsoft Visual Basic,Y,N
11-1021.00,Microsoft Visual Basic for Applications VBA,Y,N
11-1021.00,Microsoft Windows,Y,N
11-1021.00,Microsoft Word,Y,N
11-1021.00,MicroStrategy,N,N
11-1021.00,Minitab,N,N
11-1021.00,Mozilla Firefox,Y,N
11-1021.00,Mozilla Thunderbird,N,N
11-1021.00,Nagios,N,N
11-1021.00,NetSuite ERP,N,N
11-1021.00,NetSuite NetCRM,N,N
11-1021.00,NortonLifeLock cybersecurity software,N,N
11-1021.00,Oracle Business Intelligence Enterprise Edition,N,N
11-1021.00,Oracle Database,Y,N
11-1021.00,Oracle E-Business Suite Financials,N,N
11-1021.00,Oracle Eloqua,N,N
11-1021.00,Oracle Fusion Applications,N,N
11-1021.00,Oracle Hyperion,N,N
11-1021.00,Oracle JD Edwards EnterpriseOne,N,N
11-1021.00,Oracle PeopleSoft,Y,N
11-1021.00,Oracle PeopleSoft Financials,N,N
11-1021.00,Oracle Primavera Enterprise Project Portfolio Management,Y,N
11-1021.00,Oracle Solaris,N,N
11-1021.00,Oracle Taleo,N,N
11-1021.00,Payroll software,N,N
11-1021.00,Personnel scheduling software,N,N
11-1021.00,Point of sale POS software,N,N
11-1021.00,PostgreSQL,Y,N
11-1021.00,Puppet,Y,N
11-1021.00,Qlik Tech QlikView,N,N
11-1021.00,Quest Erwin Data Modeler,N,N
11-1021.00,R,Y,N
11-1021.00,Realization Streamliner,N,N
11-1021.00,Sage 50 Accounting,N,N
11-1021.00,Sage MAS 500,N,N
11-1021.00,Salesforce software,Y,N
11-1021.00,Salesforce.com Salesforce CRM,N,N
11-1021.00,SAP Business Objects,N,N
11-1021.00,SAP Crystal Reports,N,N
11-1021.00,SAP software,Y,N
11-1021.00,SAS,Y,N
11-1021.00,Savant MobileRanger,N,N
11-1021.00,Screencastify,N,N
11-1021.00,SeaMonkey,N,N
11-1021.00,Shell script,Y,N
11-1021.00,Siemens NX,N,N
11-1021.00,Slack,Y,N
11-1021.00,Social media sites,N,N
11-1021.00,Software on Sailboats Desktop Sales Manager,N,N
11-1021.00,Splunk Enterprise,Y,N
11-1021.00,StataCorp Stata,N,N
11-1021.00,Structured query language SQL,Y,N
11-1021.00,Sugar CRM,N,N
11-1021.00,Supervisory control and data acquisition SCADA software,N,N
11-1021.00,Tableau,Y,N
11-1021.00,Tax software,N,N
11-1021.00,Teradata Database,Y,N
11-1021.00,The MathWorks MATLAB,Y,N
11-1021.00,Vanguard Software Vanguard Sales Manager,N,N
11-1021.00,Veritas NetBackup,N,N
11-1021.00,vtiger CRM,N,N
11-1021.00,Yardi software,Y,N
11-1021.00,YouTube,N,N
11-1031.00,Adobe Acrobat,Y,N
11-1031.00,Adobe FrameMaker,N,N
11-1031.00,Antenna House,N,N
11-1031.00,Apple iWork Keynote,N,N
11-1031.00,Apple iWork Pages,N,N
11-1031.00,Apple Numbers for Mac,N,N
11-1031.00,Cisco AnyConnect,N,N
11-1031.00,Cisco Webex,Y,N
11-1031.00,Corel WordPerfect Office Suite,N,N
11-1031.00,GoodReader,N,N
11-1031.00,iAnnotate,N,N
11-1031.00,IBM Domino,N,N
11-1031.00,Legislative Automative Workflow System LAWS,N,N
11-1031.00,LogMeIn GoToMeeting,N,N
11-1031.00,Mapping software,N,N
11-1031.00,Meeting scheduling software,N,N
11-1031.00,Microsoft Access,Y,N
11-1031.00,Microsoft Excel,Y,N
11-1031.00,Microsoft Exchange,N,N
11-1031.00,Microsoft Office software,Y,N
11-1031.00,Microsoft Outlook,Y,N
11-1031.00,Microsoft SharePoint,Y,N
11-1031.00,Microsoft SQL Server,Y,N
11-1031.00,Microsoft Visual Basic,Y,N
11-1031.00,Microsoft Word,Y,N
11-1031.00,Penultimate,N,N
11-1031.00,PTC Arbortext,N,N
11-1031.00,Rocket/Folio NXT,N,N
11-1031.00,Structured query language SQL,Y,N
11-1031.00,Web browser software,N,N
11-1031.00,Windows Media Player,N,N
11-1031.00,XMetaL Author,N,N
11-2011.00,Actuate BIRT,N,N
11-2011.00,Adobe Acrobat,Y,N
11-2011.00,Adobe Acrobat Reader,N,N
11-2011.00,Adobe After Effects,Y,N
11-2011.00,Adobe Creative Cloud software,Y,N
11-2011.00,Adobe Dreamweaver,N,N
11-2011.00,Adobe Experience Manager (AEM),N,N
11-2011.00,Adobe Illustrator,Y,N
11-2011.00,Adobe InDesign,Y,N
11-2011.00,Adobe PageMaker,N,N
11-2011.00,Adobe Photoshop,Y,N
11-2011.00,Adobe Premiere Pro,N,N
11-2011.00,AdRelevance,N,N
11-2011.00,Apple Final Cut Pro,N,N
11-2011.00,Apple iMovie,N,N
11-2011.00,Avid Media Composer,N,N
11-2011.00,Brainworks,N,N
11-2011.00,Business analysis software,N,N
11-2011.00,Constant Contact,N,N
11-2011.00,Customer relationship management CRM software,N,N
11-2011.00,Data visualization software,N,N
11-2011.00,Data warehousing software,N,N
11-2011.00,Database software,N,N
11-2011.00,Drupal,N,N
11-2011.00,Email software,N,N
11-2011.00,Experience in Software Webplanner,N,N
